comarca,codi_variable,data_lectura,valor_lectura
Vallès Oriental,35,2009-12-07,0.2
Vallès Oriental,35,2009-12-08,0.0
Vallès Oriental,35,2009-12-09,0.0
Vallès Oriental,35,2009-12-10,0.2
Vallès Oriental,35,2009-12-11,0.1
Vallès Oriental,35,2009-12-12,0.1
Vallès Oriental,35,2009-12-13,0.0
Vallès Oriental,35,2009-12-14,1.9
Vallès Oriental,35,2009-12-15,2.2
Vallès Oriental,35,2009-12-16,0.30000000000000004
Vallès Oriental,35,2009-12-17,0.0
Vallès Oriental,35,2009-12-18,0.1
Vallès Oriental,35,2009-12-19,0.30000000000000004
Vallès Oriental,35,2009-12-20,0.0
Vallès Oriental,35,2009-12-21,33.4
Vallès Oriental,35,2009-12-22,53.1
Vallès Oriental,35,2009-12-23,19.7
Vallès Oriental,35,2009-12-24,40.5
Vallès Oriental,35,2009-12-25,3.0
Vallès Oriental,35,2009-12-26,12.3
Vallès Oriental,35,2009-12-27,0.2
Vallès Oriental,35,2009-12-28,0.0
Vallès Oriental,35,2009-12-29,0.9
Vallès Oriental,35,2009-12-30,0.1
Vallès Oriental,35,2009-12-31,1.4
Vallès Oriental,35,2010-01-01,0.0
Vallès Oriental,35,2010-01-02,0.7000000000000001
Vallès Oriental,35,2010-01-03,0.2
Vallès Oriental,35,2010-01-04,17.8
Vallès Oriental,35,2010-01-05,29.1
Vallès Oriental,35,2010-01-06,0.1
Vallès Oriental,35,2010-01-07,35.5
Vallès Oriental,35,2010-01-08,3.7
Vallès Oriental,35,2010-01-09,0.0
Vallès Oriental,35,2010-01-10,0.1
Vallès Oriental,35,2010-01-11,0.0
Vallès Oriental,35,2010-01-12,15.4
Vallès Oriental,35,2010-01-13,0.4
Vallès Oriental,35,2010-01-14,22.4
Vallès Oriental,35,2010-01-15,0.0
Vallès Oriental,35,2010-01-16,1.4
Vallès Oriental,35,2010-01-17,2.5
Vallès Oriental,35,2010-01-18,5.0
Vallès Oriental,35,2010-01-19,6.5
Vallès Oriental,35,2010-01-20,1.0
Vallès Oriental,35,2010-01-21,0.30000000000000004
Vallès Oriental,35,2010-01-22,0.1
Vallès Oriental,35,2010-01-23,0.2
Vallès Oriental,35,2010-01-24,4.5
Vallès Oriental,35,2010-01-25,20.1
Vallès Oriental,35,2010-01-26,0.1
Vallès Oriental,35,2010-01-27,0.5
Vallès Oriental,35,2010-01-28,0.2
Vallès Oriental,35,2010-01-29,0.0
Vallès Oriental,35,2010-01-30,0.0
Vallès Oriental,35,2010-01-31,5.0
Vallès Oriental,35,2010-02-01,0.5
Vallès Oriental,35,2010-02-02,0.0
Vallès Oriental,35,2010-02-03,0.2
Vallès Oriental,35,2010-02-04,31.5
Vallès Oriental,35,2010-02-05,0.4
Vallès Oriental,35,2010-02-06,0.2
Vallès Oriental,35,2010-02-07,0.0
Vallès Oriental,35,2010-02-08,82.5
Vallès Oriental,35,2010-02-09,59.0
