comarca;municipi;codiE;lat;lon;alt;data_alta;data_baixa;estat_actual 
Pla de l'Estany;Banyoles;DJ;42.11653;2.78969;176;11/10/1999;;Operativa
Priorat;Cornudella de Montsant;MR;41.25079;0.91060;500;08/11/2010;;Operativa
Priorat;El Masroig;WJ;41.12230;0.72182;141;20/06/2000;;Operativa
Priorat;Falset;CH;41.15076;0.82357;350;01/12/1995;05/07/2005;Desmantellada
Priorat;Falset;X1;41.15374;0.81953;359;20/12/2006;;Operativa
Priorat;Margalef;D1;41.28521;0.75383;404;14/01/1996;;Operativa
Priorat;Torroja del Priorat;WR;41.21630;0.79748;300;27/11/2003;;Operativa
Priorat;Ulldemolins;CZ;41.31910;0.87868;631;04/03/1996;15/04/2008;Desmantellada
Priorat;Ulldemolins;XD;41.32000;0.88570;687;17/04/2008;;Operativa
Ribera d'Ebre;Ascó;VA;41.19645;0.51161;257;15/06/1998;;Operativa
Ribera d'Ebre;Benissanet;VB;41.06289;0.63517;32;14/07/1993;;Operativa
Ribera d'Ebre;Riba-roja d'Ebre;VC;41.24415;0.43266;69;18/11/1996;;Operativa
Ribera d'Ebre;Tivissa;Y6;41.04343;0.74032;317;26/03/2015;;Operativa
Ribera d'Ebre;Vinebre;D7;41.18499;0.59376;53;22/01/1998;;Operativa
Ripollès;Les Llosses;CB;42.15085;2.19914;700;30/11/1995;02/06/2003;Desmantellada
Ripollès;Molló;CG;42.37717;2.41456;1405;06/06/1996;;Operativa
Ripollès;Queralbs;DG;42.39848;2.15517;1971;15/05/1998;;Operativa
Ripollès;Sant Joan de les Abadesses;M6;42.22189;2.24270;730;13/01/1996;;Operativa
Ripollès;Sant Pau de Segúries;CI;42.25839;2.36429;852;24/11/1995;;Operativa
Ripollès;Setcases;ZC;42.42117;2.24565;2410;28/09/2011;;Operativa
Ripollès;Setcases;Z4;42.42205;2.25240;2364;08/11/2000;20/09/2011;Desmantellada
Segarra;Cervera;C8;41.67555;1.29609;554;27/10/1995;;Operativa
Segarra;Els Plans de Sió;VD;41.68939;1.20381;429;22/10/1988;;Operativa
Segarra;Massoteres;YE;41.79409;1.30576;513;17/05/2017;;Operativa
Segrià;Aitona;VE;41.48692;0.46058;97;12/03/1998;12/04/2022;Desmantellada
Segrià;Alcarràs;VF;41.56482;0.54999;122;17/09/1997;31/07/2013;Desmantellada
Segrià;Alcarràs;XY;41.56509;0.55027;122;31/07/2013;;Operativa
Segrià;Alfarràs;WK;41.81949;0.57768;268;17/09/1997;;Operativa
Segrià;Alguaire;X3;41.74281;0.53580;370;02/06/2006;;Operativa
Segrià;Els Alamús;XM;41.59522;0.73507;235;22/06/2011;;Operativa
Segrià;Gimenells i el Pla de la Font;VH;41.65814;0.39301;259;10/12/1996;;Operativa
Segrià;Lleida;VI;41.62918;0.59622;190;30/03/1990;15/06/2000;Desmantellada
Segrià;Lleida;VJ;41.59957;0.64780;161;16/09/1997;24/07/2013;Desmantellada
Segrià;Lleida;VK;41.68328;0.44870;286;31/08/1988;;Operativa
Segrià;Lleida;XW;41.59822;0.64855;165;24/07/2013;17/10/2018;Desmantellada
Segrià;Lleida;YJ;41.58462;0.64172;170;21/08/2018;;Operativa
Segrià;Maials;WI;41.35741;0.48090;350;20/12/2000;;Operativa
Segrià;Seròs;VL;41.46014;0.40562;100;05/01/1998;15/12/2011;Desmantellada
Segrià;Seròs;XN;41.46379;0.42765;89;15/12/2011;;Operativa
Segrià;Torres de Segre;CO;41.52603;0.52711;144;23/11/1995;25/05/2006;Desmantellada
Segrià;Torres de Segre;X7;41.51909;0.55314;215;02/07/2007;;Operativa
Segrià;Vilanova de Segrià;VM;41.71450;0.62839;222;17/09/1997;;Operativa
Selva;Anglès;DN;41.96095;2.63108;150;10/05/2001;;Operativa
Selva;Fogars de la Selva;KP;41.73894;2.69436;36;05/01/1996;;Operativa
